"id","name","link","address","rating","reviews","price_min","price_max"
41,"Dar Mayshad","https://www.tripadvisor.com/Hotel_Review-g293736-d15089374-Reviews-Dar_Mayshad-Rabat_Rabat_Sale_Kenitra.html","Impasse Ahmed El Bacha 3, Rabat 10000 Morocco","4.5",10,"95","119"
42,"Dar Tsouli","https://www.tripadvisor.com/Hotel_Review-g293736-d13806658-Reviews-Dar_Tsouli-Rabat_Rabat_Sale_Kenitra.html","Rue Benjelloule, Rabat 10000 Morocco","4.5",6,"23","28"
43,"Riad Sidi Fatah","https://www.tripadvisor.com/Hotel_Review-g293736-d2095746-Reviews-Riad_Sidi_Fatah-Rabat_Rabat_Sale_Kenitra.html","12 Rue Benasser Lakrari, Rabat 10030 Morocco","4",130,"104","116"
44,"Hotel Atlantic Agdal","https://www.tripadvisor.com/Hotel_Review-g293736-d5279899-Reviews-Hotel_Atlantic_Agdal-Rabat_Rabat_Sale_Kenitra.html","20 Avenue Atlas Agdal, Rabat 10000 Morocco","4",115,"113","131"
45,"RENT-INN Suite Hotel","https://www.tripadvisor.com/Hotel_Review-g293736-d12424898-Reviews-RENT_INN_Suite_Hotel-Rabat_Rabat_Sale_Kenitra.html","56 Rue Jabal Oukaimeden, Rabat 10080 Morocco","4",17,"78","100"
46,"Riad Amaris","https://www.tripadvisor.com/Hotel_Review-g293736-d23715522-Reviews-Riad_Amaris-Rabat_Rabat_Sale_Kenitra.html","10 Rue Lalla Hannou, Rabat 10030 Morocco","4.5",25,"94","160"
47,"Dar Amine","https://www.tripadvisor.com/Hotel_Review-g293736-d17628579-Reviews-Dar_Amine-Rabat_Rabat_Sale_Kenitra.html","Rue Sidi Fateh N 4, A Cote de Halawiat Sbai Et Entre Deux Bijouteries, Rabat 10030 Morocco","3",1,"23","29"
48,"NJ Hotel","https://www.tripadvisor.com/Hotel_Review-g293736-d19190667-Reviews-NJ_Hotel-Rabat_Rabat_Sale_Kenitra.html","63 Rue Moulay Youssef Hassan, Rabat 10000 Morocco","4.5",15,"101","144"
50,"Riad Majorelle","https://www.tripadvisor.com/Hotel_Review-g293736-d27148149-Reviews-Riad_Majorelle-Rabat_Rabat_Sale_Kenitra.html","23 Rue Sebbahi, Rabat 10000 Morocco","4",1,"52","86"
51,"Riad Lily","https://www.tripadvisor.com/Hotel_Review-g293736-d28221696-Reviews-Riad_Lily-Rabat_Rabat_Sale_Kenitra.html","12 Rue Hammam Guedira, Rabat 10030 Morocco","5",6,"64","93"
52,"Naima's House","https://www.tripadvisor.com/Hotel_Review-g293736-d16639076-Reviews-Naima_s_House-Rabat_Rabat_Sale_Kenitra.html","Avenue Sidi Fateh Rue Doura Numero 10, Rabat 10000 Morocco","3.5",3,"37","40"
53,"RIAD Dar Ouezzani","https://www.tripadvisor.com/Hotel_Review-g293736-d23019259-Reviews-RIAD_Dar_Ouezzani-Rabat_Rabat_Sale_Kenitra.html","N°1,Rue Açam, Rabat 10000 Morocco","4.5",29,"83","107"
54,"Dar Rabiaa","https://www.tripadvisor.com/Hotel_Review-g293736-d23668144-Reviews-Dar_Rabiaa-Rabat_Rabat_Sale_Kenitra.html","7 , Rue Hotel Chorfas, Rabat 10000 Morocco","4.5",22,"76","118"
