"id","name","link","menu_link","rating","reviews","price"
79,"Restaurant de la Plage","https://www.tripadvisor.com/Restaurant_Review-g293736-d5003019-Reviews-Restaurant_de_la_Plage-Rabat_Rabat_Sale_Kenitra.html",NULL,"3.5",126,"$$ - $$$"
80,"Restaurant La Marsa","https://www.tripadvisor.com/Restaurant_Review-g293736-d2342565-Reviews-Restaurant_La_Marsa-Rabat_Rabat_Sale_Kenitra.html",NULL,"3.5",76,"$$ - $$$"
81,"Restaurant Tian An Men Chinois","https://www.tripadvisor.com/Restaurant_Review-g293736-d6121982-Reviews-Restaurant_Tian_An_Men_Chinois-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",38,"$$ - $$$"
82,"Taghazout","https://www.tripadvisor.com/Restaurant_Review-g293736-d4047843-Reviews-Taghazout-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",42,"$"
83,"Chhiwaat Yemma","https://www.tripadvisor.com/Restaurant_Review-g293736-d23538690-Reviews-Chhiwaat_Yemma-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",23,"$$ - $$$"
84,"La Scène","https://www.tripadvisor.com/Restaurant_Review-g293736-d12416945-Reviews-La_Scene-Rabat_Rabat_Sale_Kenitra.html","http://www.renaissance.ma/menucafé/","4.5",14,NULL
85,"La Menora","https://www.tripadvisor.com/Restaurant_Review-g293736-d1850723-Reviews-La_Menora-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",131,"$$ - $$$"
86,"Kasr Al Assil","https://www.tripadvisor.com/Restaurant_Review-g293736-d17174824-Reviews-Kasr_Al_Assil-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",20,"$"
87,"Pause Gourmet","https://www.tripadvisor.com/Restaurant_Review-g293736-d4556005-Reviews-Pause_Gourmet-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",78,"$$ - $$$"
88,"Otantik Restaurant ","https://www.tripadvisor.com/Restaurant_Review-g293736-d25578871-Reviews-Otantik_Restaurant-Rabat_Rabat_Sale_Kenitra.html",NULL,"5",3,"$"
89,"Duchessa","https://www.tripadvisor.com/Restaurant_Review-g293736-d26040365-Reviews-Duchessa-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",5,NULL
90,"Sushi house","https://www.tripadvisor.com/Restaurant_Review-g293736-d10329162-Reviews-Sushi_house-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",40,"$$ - $$$"
91,"F.café","https://www.tripadvisor.com/Restaurant_Review-g293736-d12265414-Reviews-F_cafe-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",18,"$$ - $$$"
92,"The Marina Steakhouse","https://www.tripadvisor.com/Restaurant_Review-g293736-d15139062-Reviews-The_Marina_Steakhouse-Rabat_Rabat_Sale_Kenitra.html",NULL,"3.5",31,"$$ - $$$"
93,"Restaurant Dar Rabiaa","https://www.tripadvisor.com/Restaurant_Review-g293736-d27234671-Reviews-Restaurant_Dar_Rabiaa-Rabat_Rabat_Sale_Kenitra.html","https://darrabiaa.com/services/menu","5",4,"$$ - $$$"
94,"AS'IAM","https://www.tripadvisor.com/Restaurant_Review-g293736-d2171427-Reviews-AS_IAM-Rabat_Rabat_Sale_Kenitra.html","http://culinconcept.com/wp-content/uploads/2017/09/Asiam-menu.pdf","3.5",101,"$$ - $$$"
95,"Bo & Bun Cantine Asiatique","https://www.tripadvisor.com/Restaurant_Review-g293736-d24062920-Reviews-Bo_Bun_Cantine_Asiatique-Rabat_Rabat_Sale_Kenitra.html","https://drive.google.com/file/d/1M_U5YAIKa4SsXKQ5R6naf-D3S1JaowXC/view","5",4,"$$$$"
